Split_Number,Repeat,Fold,Sample_ID,Potability,Role
1,1,1,WP_0902,0,Train
1,1,1,WP_0645,0,Train
1,1,1,WP_0374,0,Train
1,1,1,WP_0565,0,Train
1,1,1,WP_0018,0,Train
1,1,1,WP_1165,1,Train
1,1,1,WP_1561,0,Train
1,1,1,WP_1164,1,Train
1,1,1,WP_1007,1,Train
1,1,1,WP_1655,0,Train
1,1,1,WP_0121,0,Train
1,1,1,WP_2010,1,Train
1,1,1,WP_1952,1,Train
1,1,1,WP_0279,0,Train
1,1,1,WP_0385,0,Train
1,1,1,WP_1548,0,Train
1,1,1,WP_0324,0,Train
1,1,1,WP_0433,1,Train
1,1,1,WP_1100,0,Train
1,1,1,WP_1270,0,Train
1,1,1,WP_1579,0,Train
1,1,1,WP_1986,1,Train
1,1,1,WP_1005,1,Train
1,1,1,WP_0842,0,Train
1,1,1,WP_1573,0,Train
1,1,1,WP_0389,0,Train
1,1,1,WP_0872,0,Train
1,1,1,WP_0909,0,Train
1,1,1,WP_0337,0,Train
1,1,1,WP_0180,1,Train
1,1,1,WP_1082,0,Train
1,1,1,WP_1985,1,Train
1,1,1,WP_0717,1,Train
1,1,1,WP_0986,1,Train
1,1,1,WP_0795,0,Train
1,1,1,WP_0313,0,Train
1,1,1,WP_1335,0,Train
1,1,1,WP_0268,0,Train
1,1,1,WP_0233,1,Train
1,1,1,WP_0361,0,Train
1,1,1,WP_0465,1,Train
1,1,1,WP_0612,0,Train
1,1,1,WP_0906,0,Train
1,1,1,WP_0778,0,Train
1,1,1,WP_0078,0,Train
1,1,1,WP_0935,1,Train
1,1,1,WP_0790,0,Train
1,1,1,WP_0456,1,Train
1,1,1,WP_1927,1,Train
1,1,1,WP_1884,0,Train
1,1,1,WP_0536,0,Train
1,1,1,WP_1792,0,Train
1,1,1,WP_1602,0,Train
1,1,1,WP_1640,0,Train
1,1,1,WP_0377,0,Train
1,1,1,WP_0512,0,Train
1,1,1,WP_1132,0,Train
1,1,1,WP_1398,0,Train
1,1,1,WP_1135,0,Train
1,1,1,WP_1328,0,Train
1,1,1,WP_0342,0,Train
1,1,1,WP_1867,0,Train
1,1,1,WP_0123,0,Train
1,1,1,WP_0854,0,Train
1,1,1,WP_0198,1,Train
1,1,1,WP_0255,1,Train
1,1,1,WP_0695,1,Train
1,1,1,WP_1971,1,Train
1,1,1,WP_1461,1,Train
1,1,1,WP_0636,0,Train
1,1,1,WP_1660,1,Train
1,1,1,WP_1795,0,Train
1,1,1,WP_1699,1,Train
1,1,1,WP_0919,1,Train
1,1,1,WP_0304,0,Train
1,1,1,WP_0111,0,Train
1,1,1,WP_0298,0,Train
1,1,1,WP_1435,1,Train
1,1,1,WP_0611,0,Train
1,1,1,WP_1075,0,Train
1,1,1,WP_0094,0,Train
1,1,1,WP_1810,0,Train
1,1,1,WP_0703,1,Train
1,1,1,WP_0310,0,Train
1,1,1,WP_1326,0,Train
1,1,1,WP_1739,1,Train
1,1,1,WP_0496,1,Train
1,1,1,WP_1853,0,Train
1,1,1,WP_0145,0,Train
1,1,1,WP_1514,1,Train
1,1,1,WP_1924,1,Train
1,1,1,WP_1862,0,Train
1,1,1,WP_1650,0,Train
1,1,1,WP_1172,1,Train
1,1,1,WP_0689,1,Train
1,1,1,WP_1367,0,Train
1,1,1,WP_0766,0,Train
1,1,1,WP_0586,0,Train
1,1,1,WP_0079,0,Train
1,1,1,WP_0171,1,Train
1,1,1,WP_1617,0,Train
1,1,1,WP_1312,0,Train
1,1,1,WP_1556,0,Train
1,1,1,WP_0003,0,Train
1,1,1,WP_1267,0,Train
1,1,1,WP_1536,0,Train
1,1,1,WP_0156,1,Train
1,1,1,WP_0781,0,Train
1,1,1,WP_0508,0,Train
1,1,1,WP_1868,0,Train
1,1,1,WP_1856,0,Train
1,1,1,WP_1576,0,Train
1,1,1,WP_1879,0,Train
1,1,1,WP_0560,0,Train
1,1,1,WP_0642,0,Train
1,1,1,WP_1171,1,Train
1,1,1,WP_1137,0,Train
1,1,1,WP_0547,0,Train
1,1,1,WP_0578,0,Train
1,1,1,WP_1032,0,Train
1,1,1,WP_0175,1,Train
1,1,1,WP_0672,1,Train
1,1,1,WP_1688,1,Train
1,1,1,WP_0221,1,Train
1,1,1,WP_0521,0,Train
1,1,1,WP_1377,0,Train
1,1,1,WP_0254,1,Train
1,1,1,WP_1733,1,Train
1,1,1,WP_0164,1,Train
1,1,1,WP_0981,1,Train
1,1,1,WP_1202,1,Train
1,1,1,WP_0101,0,Train
1,1,1,WP_0011,0,Train
1,1,1,WP_1979,1,Train
1,1,1,WP_1089,0,Train
1,1,1,WP_1735,1,Train
1,1,1,WP_1962,1,Train
1,1,1,WP_0525,0,Train
1,1,1,WP_1087,0,Train
1,1,1,WP_0098,0,Train
1,1,1,WP_0868,0,Train
1,1,1,WP_0407,1,Train
1,1,1,WP_0058,0,Train
1,1,1,WP_1290,0,Train
1,1,1,WP_0870,0,Train
1,1,1,WP_0877,0,Train
1,1,1,WP_1513,1,Train
1,1,1,WP_1937,1,Train
1,1,1,WP_1362,0,Train
1,1,1,WP_1252,1,Train
1,1,1,WP_1849,0,Train
1,1,1,WP_0102,0,Train
1,1,1,WP_0951,1,Train
1,1,1,WP_0893,0,Train
1,1,1,WP_1146,0,Train
1,1,1,WP_0108,0,Train
1,1,1,WP_0794,0,Train
1,1,1,WP_1206,1,Train
1,1,1,WP_0959,1,Train
1,1,1,WP_0283,0,Train
1,1,1,WP_0394,0,Train
1,1,1,WP_0606,0,Train
1,1,1,WP_1391,0,Train
1,1,1,WP_0639,0,Train
1,1,1,WP_1787,0,Train
1,1,1,WP_1080,0,Train
1,1,1,WP_0424,1,Train
1,1,1,WP_0708,1,Train
1,1,1,WP_1578,0,Train
1,1,1,WP_1000,1,Train
1,1,1,WP_0811,0,Train
1,1,1,WP_0007,0,Train
1,1,1,WP_1683,1,Train
1,1,1,WP_1959,1,Train
1,1,1,WP_0167,1,Train
1,1,1,WP_1052,0,Train
1,1,1,WP_1720,1,Train
1,1,1,WP_0953,1,Train
1,1,1,WP_0432,1,Train
1,1,1,WP_1800,0,Train
1,1,1,WP_1622,0,Train
1,1,1,WP_1203,1,Train
1,1,1,WP_0228,1,Train
1,1,1,WP_0711,1,Train
1,1,1,WP_0978,1,Train
1,1,1,WP_0633,0,Train
1,1,1,WP_0340,0,Train
1,1,1,WP_0471,1,Train
1,1,1,WP_0278,0,Train
1,1,1,WP_0170,1,Train
1,1,1,WP_1229,1,Train
1,1,1,WP_1271,0,Train
1,1,1,WP_0029,0,Train
1,1,1,WP_1179,1,Train
1,1,1,WP_0402,0,Train
1,1,1,WP_1294,0,Train
1,1,1,WP_1153,0,Train
1,1,1,WP_1145,0,Train
1,1,1,WP_0617,0,Train
1,1,1,WP_0803,0,Train
1,1,1,WP_1217,1,Train
1,1,1,WP_1378,0,Train
1,1,1,WP_1919,1,Train
1,1,1,WP_0092,0,Train
1,1,1,WP_0700,1,Train
1,1,1,WP_1861,0,Train
1,1,1,WP_0284,0,Train
1,1,1,WP_1908,0,Train
1,1,1,WP_1253,1,Train
1,1,1,WP_1369,0,Train
1,1,1,WP_0529,0,Train
1,1,1,WP_0821,0,Train
1,1,1,WP_1204,1,Train
1,1,1,WP_0732,1,Train
1,1,1,WP_1700,1,Train
1,1,1,WP_1126,0,Train
1,1,1,WP_1299,0,Train
1,1,1,WP_1012,0,Train
1,1,1,WP_0761,1,Train
1,1,1,WP_0838,0,Train
1,1,1,WP_1954,1,Train
1,1,1,WP_0383,0,Train
1,1,1,WP_1358,0,Train
1,1,1,WP_1544,0,Train
1,1,1,WP_1385,0,Train
1,1,1,WP_0229,1,Train
1,1,1,WP_1535,0,Train
1,1,1,WP_1412,1,Train
1,1,1,WP_1829,0,Train
1,1,1,WP_1609,0,Train
1,1,1,WP_0971,1,Train
1,1,1,WP_1123,0,Train
1,1,1,WP_0159,1,Train
1,1,1,WP_0609,0,Train
1,1,1,WP_2011,1,Train
1,1,1,WP_1806,0,Train
1,1,1,WP_0375,0,Train
1,1,1,WP_1809,0,Train
1,1,1,WP_1997,1,Train
1,1,1,WP_0066,0,Train
1,1,1,WP_1819,0,Train
1,1,1,WP_1388,0,Train
1,1,1,WP_1642,0,Train
1,1,1,WP_0598,0,Train
1,1,1,WP_1736,1,Train
1,1,1,WP_0975,1,Train
1,1,1,WP_1236,1,Train
1,1,1,WP_0106,0,Train
1,1,1,WP_1990,1,Train
1,1,1,WP_0943,1,Train
1,1,1,WP_0649,0,Train
1,1,1,WP_0823,0,Train
1,1,1,WP_0720,1,Train
1,1,1,WP_0699,1,Train
1,1,1,WP_0217,1,Train
1,1,1,WP_0030,0,Train
1,1,1,WP_0154,0,Train
1,1,1,WP_1680,1,Train
1,1,1,WP_1848,0,Train
1,1,1,WP_1496,1,Train
1,1,1,WP_0365,0,Train
1,1,1,WP_0135,0,Train
1,1,1,WP_0366,0,Train
1,1,1,WP_0326,0,Train
1,1,1,WP_1469,1,Train
1,1,1,WP_0898,0,Train
1,1,1,WP_0069,0,Train
1,1,1,WP_1722,1,Train
1,1,1,WP_1334,0,Train
1,1,1,WP_0345,0,Train
1,1,1,WP_0136,0,Train
1,1,1,WP_0299,0,Train
1,1,1,WP_1282,0,Train
1,1,1,WP_1877,0,Train
1,1,1,WP_0461,1,Train
1,1,1,WP_1474,1,Train
1,1,1,WP_0281,0,Train
1,1,1,WP_1404,0,Train
1,1,1,WP_0256,1,Train
1,1,1,WP_1016,0,Train
1,1,1,WP_0214,1,Train
1,1,1,WP_1794,0,Train
1,1,1,WP_1129,0,Train
1,1,1,WP_1417,1,Train
1,1,1,WP_0502,1,Train
1,1,1,WP_1139,0,Train
1,1,1,WP_0588,0,Train
1,1,1,WP_0871,0,Train
1,1,1,WP_0141,0,Train
1,1,1,WP_0723,1,Train
1,1,1,WP_0438,1,Train
1,1,1,WP_0666,0,Train
1,1,1,WP_1111,0,Train
1,1,1,WP_0947,1,Train
1,1,1,WP_1208,1,Train
1,1,1,WP_0697,1,Train
1,1,1,WP_1956,1,Train
1,1,1,WP_1626,0,Train
1,1,1,WP_1057,0,Train
1,1,1,WP_0038,0,Train
1,1,1,WP_1023,0,Train
1,1,1,WP_1029,0,Train
1,1,1,WP_1163,1,Train
1,1,1,WP_0096,0,Train
1,1,1,WP_1413,1,Train
1,1,1,WP_1932,1,Train
1,1,1,WP_1450,1,Train
1,1,1,WP_0776,0,Train
1,1,1,WP_1276,0,Train
1,1,1,WP_1279,0,Train
1,1,1,WP_1821,0,Train
1,1,1,WP_1586,0,Train
1,1,1,WP_1910,0,Train
1,1,1,WP_1245,1,Train
1,1,1,WP_0336,0,Train
1,1,1,WP_0798,0,Train
1,1,1,WP_1355,0,Train
1,1,1,WP_1453,1,Train
1,1,1,WP_0908,0,Train
1,1,1,WP_0169,1,Train
1,1,1,WP_0181,1,Train
1,1,1,WP_0701,1,Train
1,1,1,WP_1188,1,Train
1,1,1,WP_1463,1,Train
1,1,1,WP_1310,0,Train
1,1,1,WP_0334,0,Train
1,1,1,WP_1523,0,Train
1,1,1,WP_0251,1,Train
1,1,1,WP_1484,1,Train
1,1,1,WP_0530,0,Train
1,1,1,WP_0989,1,Train
1,1,1,WP_0453,1,Train
1,1,1,WP_0972,1,Train
1,1,1,WP_1241,1,Train
1,1,1,WP_0616,0,Train
1,1,1,WP_1121,0,Train
1,1,1,WP_0041,0,Train
1,1,1,WP_0010,0,Train
1,1,1,WP_1113,0,Train
1,1,1,WP_1693,1,Train
1,1,1,WP_1675,1,Train
1,1,1,WP_1715,1,Train
1,1,1,WP_0021,0,Train
1,1,1,WP_0333,0,Train
1,1,1,WP_1128,0,Train
1,1,1,WP_1798,0,Train
1,1,1,WP_1108,0,Train
1,1,1,WP_0447,1,Train
1,1,1,WP_1071,0,Train
1,1,1,WP_1468,1,Train
1,1,1,WP_1805,0,Train
1,1,1,WP_0610,0,Train
1,1,1,WP_0577,0,Train
1,1,1,WP_0847,0,Train
1,1,1,WP_1493,1,Train
1,1,1,WP_1658,0,Train
1,1,1,WP_0061,0,Train
1,1,1,WP_1984,1,Train
1,1,1,WP_1728,1,Train
1,1,1,WP_1240,1,Train
1,1,1,WP_0774,0,Train
1,1,1,WP_0804,0,Train
1,1,1,WP_0535,0,Train
1,1,1,WP_1168,1,Train
1,1,1,WP_1475,1,Train
1,1,1,WP_1976,1,Train
1,1,1,WP_1953,1,Train
1,1,1,WP_0213,1,Train
1,1,1,WP_0307,0,Train
1,1,1,WP_0993,1,Train
1,1,1,WP_0678,1,Train
1,1,1,WP_0845,0,Train
1,1,1,WP_1033,0,Train
1,1,1,WP_1718,1,Train
1,1,1,WP_1813,0,Train
1,1,1,WP_0071,0,Train
1,1,1,WP_0729,1,Train
1,1,1,WP_1685,1,Train
1,1,1,WP_1274,0,Train
1,1,1,WP_0812,0,Train
1,1,1,WP_0317,0,Train
1,1,1,WP_0391,0,Train
1,1,1,WP_0393,0,Train
1,1,1,WP_0518,0,Train
1,1,1,WP_1948,1,Train
1,1,1,WP_0517,0,Train
1,1,1,WP_1201,1,Train
1,1,1,WP_2006,1,Train
1,1,1,WP_0532,0,Train
1,1,1,WP_1243,1,Train
1,1,1,WP_1429,1,Train
1,1,1,WP_1886,0,Train
1,1,1,WP_0890,0,Train
1,1,1,WP_1353,0,Train
1,1,1,WP_0687,1,Train
1,1,1,WP_0705,1,Train
1,1,1,WP_1701,1,Train
1,1,1,WP_1077,0,Train
1,1,1,WP_1298,0,Train
1,1,1,WP_1306,0,Train
1,1,1,WP_0724,1,Train
1,1,1,WP_0339,0,Train
1,1,1,WP_1301,0,Train
1,1,1,WP_1770,0,Train
1,1,1,WP_1874,0,Train
1,1,1,WP_1941,1,Train
1,1,1,WP_0501,1,Train
1,1,1,WP_0889,0,Train
1,1,1,WP_1436,1,Train
1,1,1,WP_1140,0,Train
1,1,1,WP_0841,0,Train
1,1,1,WP_0277,0,Train
1,1,1,WP_0190,1,Train
1,1,1,WP_0516,0,Train
1,1,1,WP_1090,0,Train
1,1,1,WP_1901,0,Train
1,1,1,WP_0747,1,Train
1,1,1,WP_0802,0,Train
1,1,1,WP_1482,1,Train
1,1,1,WP_1707,1,Train
1,1,1,WP_1102,0,Train
1,1,1,WP_0596,0,Train
1,1,1,WP_0323,0,Train
1,1,1,WP_0527,0,Train
1,1,1,WP_1449,1,Train
1,1,1,WP_0416,1,Train
1,1,1,WP_1213,1,Train
1,1,1,WP_1656,0,Train
1,1,1,WP_1321,0,Train
1,1,1,WP_0271,0,Train
1,1,1,WP_1427,1,Train
1,1,1,WP_0875,0,Train
1,1,1,WP_1909,0,Train
1,1,1,WP_0303,0,Train
1,1,1,WP_0944,1,Train
1,1,1,WP_1934,1,Train
1,1,1,WP_1189,1,Train
1,1,1,WP_0009,0,Train
1,1,1,WP_1340,0,Train
1,1,1,WP_1903,0,Train
1,1,1,WP_1142,0,Train
1,1,1,WP_1446,1,Train
1,1,1,WP_1156,0,Train
1,1,1,WP_1192,1,Train
1,1,1,WP_0737,1,Train
1,1,1,WP_1432,1,Train
1,1,1,WP_0129,0,Train
1,1,1,WP_0923,1,Train
1,1,1,WP_0608,0,Train
1,1,1,WP_1766,0,Train
1,1,1,WP_0500,1,Train
1,1,1,WP_0785,0,Train
1,1,1,WP_0314,0,Train
1,1,1,WP_0855,0,Train
1,1,1,WP_0806,0,Train
1,1,1,WP_0995,1,Train
1,1,1,WP_0918,1,Train
1,1,1,WP_1657,0,Train
1,1,1,WP_1692,1,Train
1,1,1,WP_0852,0,Train
1,1,1,WP_1389,0,Train
1,1,1,WP_1713,1,Train
1,1,1,WP_0533,0,Train
1,1,1,WP_1499,1,Train
1,1,1,WP_1562,0,Train
1,1,1,WP_0495,1,Train
1,1,1,WP_0797,0,Train
1,1,1,WP_1906,0,Train
1,1,1,WP_1931,1,Train
1,1,1,WP_0276,0,Train
1,1,1,WP_0122,0,Train
1,1,1,WP_1706,1,Train
1,1,1,WP_0669,1,Train
1,1,1,WP_0901,0,Train
1,1,1,WP_1831,0,Train
1,1,1,WP_0562,0,Train
1,1,1,WP_0320,0,Train
1,1,1,WP_0655,0,Train
1,1,1,WP_0440,1,Train
1,1,1,WP_0246,1,Train
1,1,1,WP_1285,0,Train
1,1,1,WP_1182,1,Train
1,1,1,WP_0242,1,Train
1,1,1,WP_1124,0,Train
1,1,1,WP_1209,1,Train
1,1,1,WP_1296,0,Train
1,1,1,WP_1746,1,Train
1,1,1,WP_1888,0,Train
1,1,1,WP_1567,0,Train
1,1,1,WP_0384,0,Train
1,1,1,WP_1370,0,Train
1,1,1,WP_0992,1,Train
1,1,1,WP_1803,0,Train
1,1,1,WP_1381,0,Train
1,1,1,WP_0886,0,Train
1,1,1,WP_0888,0,Train
1,1,1,WP_0763,0,Train
1,1,1,WP_0620,0,Train
1,1,1,WP_1546,0,Train
1,1,1,WP_1691,1,Train
1,1,1,WP_0296,0,Train
1,1,1,WP_0264,0,Train
1,1,1,WP_1420,1,Train
1,1,1,WP_1346,0,Train
1,1,1,WP_1191,1,Train
1,1,1,WP_0444,1,Train
1,1,1,WP_0832,0,Train
1,1,1,WP_1230,1,Train
1,1,1,WP_1933,1,Train
1,1,1,WP_0621,0,Train
1,1,1,WP_1292,0,Train
1,1,1,WP_0625,0,Train
1,1,1,WP_1184,1,Train
1,1,1,WP_0849,0,Train
1,1,1,WP_0177,1,Train
1,1,1,WP_1180,1,Train
1,1,1,WP_0352,0,Train
1,1,1,WP_0597,0,Train
1,1,1,WP_0769,0,Train
1,1,1,WP_0401,0,Train
1,1,1,WP_1415,1,Train
1,1,1,WP_1341,0,Train
1,1,1,WP_1086,0,Train
1,1,1,WP_1981,1,Train
1,1,1,WP_0985,1,Train
1,1,1,WP_1643,0,Train
1,1,1,WP_1694,1,Train
1,1,1,WP_1608,0,Train
1,1,1,WP_1199,1,Train
1,1,1,WP_1329,0,Train
1,1,1,WP_1085,0,Train
1,1,1,WP_1762,0,Train
1,1,1,WP_1613,0,Train
1,1,1,WP_0735,1,Train
1,1,1,WP_1011,0,Train
1,1,1,WP_0740,1,Train
1,1,1,WP_0247,1,Train
1,1,1,WP_0550,0,Train
1,1,1,WP_1624,0,Train
1,1,1,WP_1541,0,Train
1,1,1,WP_0549,0,Train
1,1,1,WP_1925,1,Train
1,1,1,WP_1106,0,Train
1,1,1,WP_1214,1,Train
1,1,1,WP_1419,1,Train
1,1,1,WP_1054,0,Train
1,1,1,WP_1093,0,Train
1,1,1,WP_0335,0,Train
1,1,1,WP_1568,0,Train
1,1,1,WP_1830,0,Train
1,1,1,WP_0259,0,Train
1,1,1,WP_0789,0,Train
1,1,1,WP_1545,0,Train
1,1,1,WP_1250,1,Train
1,1,1,WP_1723,1,Train
1,1,1,WP_0328,0,Train
1,1,1,WP_0954,1,Train
1,1,1,WP_0262,0,Train
1,1,1,WP_1944,1,Train
1,1,1,WP_1062,0,Train
1,1,1,WP_1662,1,Train
1,1,1,WP_1977,1,Train
1,1,1,WP_1268,0,Train
1,1,1,WP_1801,0,Train
1,1,1,WP_1053,0,Train
1,1,1,WP_1354,0,Train
1,1,1,WP_0556,0,Train
1,1,1,WP_1442,1,Train
1,1,1,WP_0579,0,Train
1,1,1,WP_0160,1,Train
1,1,1,WP_1575,0,Train
1,1,1,WP_0239,1,Train
1,1,1,WP_1876,0,Train
1,1,1,WP_1223,1,Train
1,1,1,WP_0415,1,Train
1,1,1,WP_0227,1,Train
1,1,1,WP_1333,0,Train
1,1,1,WP_0857,0,Train
1,1,1,WP_0138,0,Train
1,1,1,WP_1996,1,Train
1,1,1,WP_0331,0,Train
1,1,1,WP_1349,0,Train
1,1,1,WP_0585,0,Train
1,1,1,WP_0188,1,Train
1,1,1,WP_0765,0,Train
1,1,1,WP_1365,0,Train
1,1,1,WP_0782,0,Train
1,1,1,WP_0977,1,Train
1,1,1,WP_1756,1,Train
1,1,1,WP_0788,0,Train
1,1,1,WP_1443,1,Train
1,1,1,WP_0630,0,Train
1,1,1,WP_1738,1,Train
1,1,1,WP_0120,0,Train
1,1,1,WP_1940,1,Train
1,1,1,WP_0807,0,Train
1,1,1,WP_1600,0,Train
1,1,1,WP_0211,1,Train
1,1,1,WP_1181,1,Train
1,1,1,WP_1966,1,Train
1,1,1,WP_1262,1,Train
1,1,1,WP_0095,0,Train
1,1,1,WP_1896,0,Train
1,1,1,WP_0235,1,Train
1,1,1,WP_0867,0,Train
1,1,1,WP_0534,0,Train
1,1,1,WP_0860,0,Train
1,1,1,WP_1467,1,Train
1,1,1,WP_1234,1,Train
1,1,1,WP_0234,1,Train
1,1,1,WP_1157,1,Train
1,1,1,WP_0197,1,Train
1,1,1,WP_1235,1,Train
1,1,1,WP_0746,1,Train
1,1,1,WP_1107,0,Train
1,1,1,WP_1638,0,Train
1,1,1,WP_1414,1,Train
1,1,1,WP_1315,0,Train
1,1,1,WP_1666,1,Train
1,1,1,WP_0231,1,Train
1,1,1,WP_1438,1,Train
1,1,1,WP_0834,0,Train
1,1,1,WP_1534,0,Train
1,1,1,WP_1073,0,Train
1,1,1,WP_0329,0,Train
1,1,1,WP_0967,1,Train
1,1,1,WP_1441,1,Train
1,1,1,WP_0210,1,Train
1,1,1,WP_1363,0,Train
1,1,1,WP_1459,1,Train
1,1,1,WP_1757,1,Train
1,1,1,WP_1097,0,Train
1,1,1,WP_0640,0,Train
1,1,1,WP_0497,1,Train
1,1,1,WP_1024,0,Train
1,1,1,WP_0903,0,Train
1,1,1,WP_0786,0,Train
1,1,1,WP_1433,1,Train
1,1,1,WP_1058,0,Train
1,1,1,WP_0489,1,Train
1,1,1,WP_1745,1,Train
1,1,1,WP_1445,1,Train
1,1,1,WP_1975,1,Train
1,1,1,WP_1211,1,Train
1,1,1,WP_0851,0,Train
1,1,1,WP_1095,0,Train
1,1,1,WP_0301,0,Train
1,1,1,WP_1376,0,Train
1,1,1,WP_0984,1,Train
1,1,1,WP_0684,1,Train
1,1,1,WP_1811,0,Train
1,1,1,WP_1457,1,Train
1,1,1,WP_0477,1,Train
1,1,1,WP_0047,0,Train
1,1,1,WP_0467,1,Train
1,1,1,WP_0486,1,Train
1,1,1,WP_0382,0,Train
1,1,1,WP_1628,0,Train
1,1,1,WP_0519,0,Train
1,1,1,WP_1955,1,Train
1,1,1,WP_1009,1,Train
1,1,1,WP_1935,1,Train
1,1,1,WP_1402,0,Train
1,1,1,WP_1352,0,Train
1,1,1,WP_0392,0,Train
1,1,1,WP_1783,0,Train
1,1,1,WP_0520,0,Train
1,1,1,WP_0874,0,Train
1,1,1,WP_0093,0,Train
1,1,1,WP_1511,1,Train
1,1,1,WP_0980,1,Train
1,1,1,WP_1676,1,Train
1,1,1,WP_1857,0,Train
1,1,1,WP_1580,0,Train
1,1,1,WP_1218,1,Train
1,1,1,WP_0354,0,Train
1,1,1,WP_1749,1,Train
1,1,1,WP_1634,0,Train
1,1,1,WP_1452,1,Train
1,1,1,WP_1921,1,Train
1,1,1,WP_1828,0,Train
1,1,1,WP_1732,1,Train
1,1,1,WP_2001,1,Train
1,1,1,WP_0450,1,Train
1,1,1,WP_1827,0,Train
1,1,1,WP_0207,1,Train
1,1,1,WP_0267,0,Train
1,1,1,WP_1350,0,Train
1,1,1,WP_0174,1,Train
1,1,1,WP_1072,0,Train
1,1,1,WP_1584,0,Train
1,1,1,WP_0822,0,Train
1,1,1,WP_1858,0,Train
1,1,1,WP_1843,0,Train
1,1,1,WP_0825,0,Train
1,1,1,WP_1825,0,Train
1,1,1,WP_1711,1,Train
1,1,1,WP_1947,1,Train
1,1,1,WP_1939,1,Train
1,1,1,WP_0970,1,Train
1,1,1,WP_0480,1,Train
1,1,1,WP_1517,0,Train
1,1,1,WP_1293,0,Train
1,1,1,WP_0404,0,Train
1,1,1,WP_0073,0,Train
1,1,1,WP_1288,0,Train
1,1,1,WP_1895,0,Train
1,1,1,WP_0634,0,Train
1,1,1,WP_1492,1,Train
1,1,1,WP_1653,0,Train
1,1,1,WP_1297,0,Train
1,1,1,WP_1084,0,Train
1,1,1,WP_0673,1,Train
1,1,1,WP_0050,0,Train
1,1,1,WP_1914,1,Train
1,1,1,WP_0435,1,Train
1,1,1,WP_0546,0,Train
1,1,1,WP_0629,0,Train
1,1,1,WP_1510,1,Train
1,1,1,WP_1549,0,Train
1,1,1,WP_0541,0,Train
1,1,1,WP_0344,0,Train
1,1,1,WP_0569,0,Train
1,1,1,WP_0916,1,Train
1,1,1,WP_0566,0,Train
1,1,1,WP_1846,0,Train
1,1,1,WP_0912,1,Train
1,1,1,WP_0253,1,Train
1,1,1,WP_1704,1,Train
1,1,1,WP_1818,0,Train
1,1,1,WP_0026,0,Train
1,1,1,WP_0064,0,Train
1,1,1,WP_1092,0,Train
1,1,1,WP_0349,0,Train
1,1,1,WP_1751,1,Train
1,1,1,WP_1494,1,Train
1,1,1,WP_1774,0,Train
1,1,1,WP_0408,1,Train
1,1,1,WP_0143,0,Train
1,1,1,WP_0353,0,Train
1,1,1,WP_0885,0,Train
1,1,1,WP_0921,1,Train
1,1,1,WP_0861,0,Train
1,1,1,WP_0925,1,Train
1,1,1,WP_0899,0,Train
1,1,1,WP_0587,0,Train
1,1,1,WP_0721,1,Train
1,1,1,WP_0716,1,Train
1,1,1,WP_0580,0,Train
1,1,1,WP_0572,0,Train
1,1,1,WP_0948,1,Train
1,1,1,WP_1344,0,Train
1,1,1,WP_1744,1,Train
1,1,1,WP_1726,1,Train
