position,source_index,Potability,validation_fold,selection_priority,Sulfate,ph,Conductivity,Chloramines,Hardness
10,3034,0,1,4e99b913cbe4da63b16655113c3792b235f59d7b85aa0329189ba1138ff92ee2,,6.988206154718959,409.0067884769262,6.771944512116585,144.20953523100556
16,2630,0,1,880aeb8eb6518d63fa419ffcca4b2574fc58e0b46b152529ad50331c785a8d67,361.2211655449381,9.961503136754189,457.5515592245331,9.16073963943493,276.6997645001548
17,2495,0,1,d49596c404b8429111465e00811eb9344523d13b13729f9f49bef67be1b9ff4e,319.8705844996722,,482.44502561272526,9.777807381254815,183.48883884863795
45,491,0,1,ac8ff981075402ecf0fba94597e717ce6a1e99e9ad7315f741176a1366bae9a8,328.9985402091007,6.541007699013848,530.7996675336756,7.108628055021516,195.56688949362348
52,1321,0,1,579b13c7e0abdcec29f3846cd9d3aacfe0b4753fd52e3a67935c02f5afd400f3,259.2052741242635,,355.87930088255024,7.380664026306306,225.9721355715681
60,1805,0,1,65947237cdef8e7e57251e583b080341091899f86b82f277caf2df3552f90009,,7.774645242924598,321.90568103150537,5.603120373679527,194.73385836416105
18,2851,1,1,aefcabf9bbed72e19426edef33f8cd0a070b00b036cd46fc85c1846d32b88d19,231.72422478606265,8.163999617620284,529.6818065825521,5.412481384644464,195.2124952609585
25,3198,1,1,651d042c0864c7e3dfb0ce3678bf47f48f1f540552b4104d27c7f7518a7368a7,315.97414706420983,7.503085765108365,473.5316110532757,7.641776466935965,186.71332903022403
27,802,1,1,285e0391a5a42c266e7e6c86a827e249d380e4b3866da4bee9acaa3dcb10312c,246.94261132183635,8.107244312818498,369.90319874889263,6.185947771279679,228.17185869027904
28,715,1,1,d4d9e9553c223ab7ed201a29cb7e58f3efc84a7cd0e0dd3d8918454c57ef6050,322.6744621102127,,431.4573372034281,5.640672344946838,193.4101406425249
38,3138,1,1,62df00634f143f0c2600adb7ec879e8790c3ed9ced5a39945d00b95d69ac423c,335.244783435716,8.651023362891474,399.6910675025163,6.834673314493745,188.7116365205176
65,271,1,1,b2ccd20c26541732f729c26ebd25570f360224032284ad482a5ac01efd1e9311,293.3098536568155,7.275908773683996,373.3456925750202,7.886854526878826,175.22037648489427
73,336,1,1,7b2c95bf72bfd9caecd542cdf2dadbb4748713c0c5b6cd45fc6ce0f69d1c3afd,,5.583832998476663,278.63903868062306,6.594616790228106,261.23382530839666
7,1770,0,2,2799793b78a81cb1b7c428236274d5255877c1d43603dbd9d59ea0521750cdb3,353.17632828281813,6.732713713421406,321.3645184859208,7.396764075492321,197.76697434286515
11,3037,0,2,93e150f10790b9a74c31032977f902b318eafb68ec550f492dfeabe472c70211,387.1903037447218,7.397544009543939,428.4147839334657,8.422000034825615,184.840924899607
19,2665,0,2,a875e36341ab4703ab1d4f2e970cd7d8f4d8fe10c3a022f16f94fd679ff8c940,,7.1143867193719466,497.5236046476758,6.176786258666059,196.53396007421452
23,2251,0,2,06d81c3ce250739786f3142a4ab0f4b3c571c1687e98497f59244e9acfd685c0,,6.687749780088492,247.91803052825009,7.66037647163007,160.26096401709364
36,1288,0,2,cf16ac59968124d4c82b477297347189880c3b479037c7ebef60a8a57f61fcb6,298.39049042684866,6.217255306949025,414.7710169231197,5.94607364340275,205.6482514829608
47,54,0,2,93d2416a7b6363919dd4ab559997af7575f7d8d47622ed2563f7fdf189378066,340.39037835517297,10.560744636218196,456.5564021223438,6.991259996238134,181.8933655615536
0,284,1,2,7e500b1e638271513ef3533df7ee3f25376a6897989754b8fc4e5bde83ed3e7d,259.9799661706749,7.958984291884183,327.62388101792124,9.537735147164778,171.48362468653875
32,1485,1,2,941d9989982dd7f7a2b74cfcb8e3307577343c916ef09c222d50106f8fcaafff,,6.1986503364476775,527.0007955647558,6.218948453901331,246.47696246194465
46,1084,1,2,564c2c920ba4831c6d83c8bba59971e62af9f48683ae0f9628d6aa02f2d53f59,,8.154531511065274,419.1733119911466,6.19884397985866,168.09893538502118
55,1942,1,2,3a6777f0e5f85ed99c16f06531a7b757a962ac5d5a541841edf90da6653c77df,282.10554535464985,6.504112779748324,359.4609502338278,7.704989892484599,171.72255503318436
74,1579,1,2,18df15a7913e3703d3ce303ba55d71d17677b7b35cb744e62cacfac4ce594299,423.8762969891143,5.736675708942604,415.0065755703808,7.907876694584349,180.29090762022372
78,2717,1,2,1ae7cf4e80213fdc9d956c173368c5a2ba803bc19feb44c21ae3d382b59d03f6,435.1151885656065,,337.6644115494392,10.000217756125702,233.0634259085382
30,2701,0,3,be97af5751bf35a1385eddc51685bb5faf90572b2838750529299807d5874009,343.08037715977423,7.822257362901787,593.483602346069,5.28359355165118,200.0027932060902
31,1478,0,3,6f4ec3d4339f37f1cafa4730acf02ca4ccc5343d66c550c3d528c9f92bec7187,353.05589050551345,,271.3684374970511,6.179376873861621,191.01230860303576
49,3087,0,3,be459d82290274dfc56ed70ad98cc723cb4a8cf42a6eaf627c26a8fd5d5a25ce,,4.032060533561112,519.2133703660545,6.4826786124002345,200.06797277285767
59,2097,0,3,0337411ca36d58aab07720cd17155e2f93b1de334b1230b66b7afd8c06feada0,316.5252085300638,10.16483855701825,279.165435690376,7.301688665870163,194.30280093517115
63,2631,0,3,af4f3ea589b42fac5c615a04e880983557b6e655425f4a2c0e36f834e4525b42,328.24028919650993,3.2309731059187423,261.4352151594753,6.835951440246375,120.78544948310385
70,155,0,3,ae422afa41e2d03c136d4fcb92ee50f6e3c1260f1a439e156bce374917eeaa70,340.10602778835107,6.906992171811655,356.4591368515823,7.302351651289456,216.7852908400248
8,3165,1,3,89f9c436af7da4b9e32ea9decd3972703455dc6632f3e3af75e119f512f9b96c,316.39197399236394,9.370696575357568,424.91567671604486,7.762861766330197,157.71936436169278
15,300,1,3,9539340d1332fe66c2e8b1de6b2e88a099467ddaaee9e3531ee4325f335e21a1,377.1289704427131,,291.35370138829103,7.057577879965413,225.28770395196483
21,2731,1,3,499fded0a708cb56cbeb37c530ff95bd16c7268d79cc3d2b09ce4e3bec1dd6a1,,7.185167714343043,501.7854199862957,6.691069585839307,209.68313959422147
24,1137,1,3,477cff4d01e27860c828a8eb79514aea3aeb568884ef98c57d5a844c67b9cbcd,248.09475894507972,8.722143776841188,468.36745137041055,3.651961339353696,151.6211320112265
34,3253,1,3,771fee857afd75ae17ca1a7c005b1e1aaa92c986d347cf3dbaebdbfef3606d21,294.03039494556964,7.395450846886257,413.9102929594385,8.310194997763043,190.47789169609743
66,1152,1,3,039619805f46bb9d6b5ea9854732edab3839034c19111223e9adc622e26078a6,,7.310715695744376,425.5328610356169,8.4375149697106,185.8171403953804
3,875,0,4,98230c99626f2d383fc17b0aa2e6acd14acbadee96c5cff1c75d1253509b92b6,374.2269262476081,4.489783796199172,518.5852526497778,8.486030243192529,188.2519391176551
35,2296,0,4,441694b454ad39f5b6aecd6289866099054b8b6b70aab5585b3983890e2c9e1e,,6.369973529850304,319.7850761069275,9.066829967797382,128.6168684735884
37,1849,0,4,3bd38d3e1a861e107d99bae35d750ecff5d1af45b8e90d0a8cd13aa78c71c404,378.7587147642725,8.613698594883758,418.6975296431608,7.622564839426024,235.94443585614465
50,1736,0,4,2a3fb1695559614cc6de0c782fb848a7bf47a4452b7ec4deddd6fb0eb78b2b23,264.28506897579734,5.999125177726393,497.47715053535967,6.029641484447208,219.71610877461148
64,1775,0,4,13cd6a72219519ef628804d88309fd68b238aca9f1e41469fb594692873b1ec2,305.79652935047324,6.023022741325022,508.851053087782,8.200972594216253,170.73228872711053
76,3056,0,4,9ac8290a8e8eb813f82db055312d5627c76e057781163665baf3a39d4f8c2be1,,9.759937780953084,343.5969579315956,6.719256583023286,182.7507999004292
26,1922,1,4,b899b47553d3b8ba1b5b7042866dba6bffc48faa32bdad1ef8c1148c458994eb,,8.116350275289646,416.5966342435125,5.290690952756556,224.76350924551497
41,2810,1,4,ae9f8bdd3cb8511abf1119a1b6935d6907a89b33d8b03fabaa030684e956166e,,8.315267620031083,446.9549100852281,7.053503328651694,229.75744606378947
58,1554,1,4,78265b64e53595873db1fc32fd59421f463d7eeafdb127214d7dac0eb975d7d3,129.00000000000003,8.942045991487,541.9154676754551,3.2314384013788304,215.6737860705196
71,1969,1,4,1c57a411116016db58d57bf7d0f7bf92a932fa4d691cdc4f6e1b9c417d57a510,364.10569220937424,7.36667198942732,393.2539150852465,7.851400220551362,234.2006411977624
77,304,1,4,15f126a5a7e3fe4340740098b91e9d3d54baca3a4601cfe61a8ea6638d1d1d68,,8.92398060773871,415.6294837691602,12.36328482531005,135.93846747362704
79,355,1,4,8912c09e06504ca03d471bde01b5a84492c50a62092e56f73b60f1d29eeabe4f,365.4536552185631,6.425873866275697,502.9910878351933,7.571122584488707,188.98028152061903
